name,landmass,zone,area,population,language,religion,URL
Afghanistan,Asia,NE,648,16,Others,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Afghanistan.jpg
Albania,Europe,NE,29,3,Other Indo-European,Marxist,http://www.sciencekids.co.nz/images/pictures/flags680/Albania.jpg
Algeria,Africa,NE,2388,20,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Algeria.jpg
American-Samoa,Oceania,SW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/1200px-Flag_of_American_Samoa.svg.png
Andorra,Europe,NE,0,0,Other Indo-European,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Andorra.jpg
Angola,Africa,SE,1247,7,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Angola.jpg
Anguilla,N.America,NW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg
Antigua-Barbuda,N.America,NW,0,0,English,Other Christian,http://flags.fmcdn.net/data/flags/w580/ag.png
Argentina,S.America,SW,2777,28,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Argentina.jpg
Argentine,S.America,SW,2777,28,Spanish,Catholic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/2000px-Flag_of_Argentina.svg.png
Australia,Oceania,SE,7690,15,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Australia.jpg
Austria,Europe,NE,84,8,German,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Austria.jpg
Bahamas,N.America,NW,19,0,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Bahamas.jpg
Bahrain,Asia,NE,1,0,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Bahrain.jpg
Bangladesh,Asia,NE,143,90,Other Indo-European,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Bangladesh.jpg
Barbados,N.America,NW,0,0,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Barbados.jpg
Belgium,Europe,NE,31,10,Other Indo-European,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Belgium.jpg
Belize,N.America,NW,23,0,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Belize.jpg
Benin,Africa,NE,113,3,French,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Benin.jpg
Bermuda,N.America,NW,0,0,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Bermuda.jpg
Bhutan,Asia,NE,47,1,Others,Buddhist,http://www.sciencekids.co.nz/images/pictures/flags680/Bhutan.jpg
Bolivia,S.America,SW,1099,6,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Bolivia.jpg
Botswana,Africa,SE,600,1,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Botswana.jpg
Brazil,S.America,SW,8512,119,Other Indo-European,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Brazil.jpg
British-Virgin-Isles,N.America,NW,0,0,English,Other Christian,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3keSpoqfjC-7MiwEgpKCJu6ruiT31zINg2m9bPZV_s3CelZ7w
Brunei,Asia,NE,6,0,Others,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Brunei.jpg
Bulgaria,Europe,NE,111,9,Slavic,Marxist,http://www.sciencekids.co.nz/images/pictures/flags680/Bulgaria.jpg
Burkina,Africa,NW,274,7,French,Ethnic,https://vignette.wikia.nocookie.net/future/images/a/ad/Flag_of_Burkina_Faso.svg.png/revision/latest?cb=20160726004644
Burma,Asia,NE,678,35,Others,Buddhist,http://flaglane.com/download/burmese-flag/burmese-flag-graphic.png
Burundi,Africa,SE,28,4,Others,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Burundi.jpg
Cameroon,Africa,NE,474,8,French,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Cameroon.jpg
Canada,N.America,NW,9976,24,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Canada.jpg
Cape-Verde-Islands,Africa,NW,4,0,Other Indo-European,Catholic,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_Cape_Verde_%282-3_ratio%29.svg/1200px-Flag_of_Cape_Verde_%282-3_ratio%29.svg.png
Cayman-Islands,N.America,NW,0,0,English,Other Christian,https://cdn.britannica.com/92/81992-004-6C3E22BF.jpg
Central-African-Republic,Africa,NE,623,2,Others,Ethnic,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/255px-Flag_of_the_Central_African_Republic.svg.png
Chad,Africa,NE,1284,4,French,Ethnic,http://www.sciencekids.co.nz/images/pictures/flags680/Chad.jpg
Chile,S.America,SW,757,11,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Chile.jpg
China,Asia,NE,9561,1008,Chinese,Marxist,http://www.sciencekids.co.nz/images/pictures/flags680/China.jpg
Colombia,S.America,NW,1139,28,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Colombia.jpg
Comorro-Islands,Africa,SE,2,0,French,Muslim,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/255px-Flag_of_the_Comoros.svg.png
Congo,Africa,SE,342,2,Others,Ethnic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/2000px-Flag_of_the_Republic_of_the_Congo.svg.png
Cook-Islands,Oceania,SW,0,0,English,Other Christian,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_the_Cook_Islands.svg/255px-Flag_of_the_Cook_Islands.svg.png
Costa-Rica,N.America,NW,51,2,Spanish,Catholic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Costa_Rica_%28state%29.svg/255px-Flag_of_Costa_Rica_%28state%29.svg.png
Cuba,N.America,NW,115,10,Spanish,Marxist,http://www.sciencekids.co.nz/images/pictures/flags680/Cuba.jpg
Cyprus,Europe,NE,9,1,Other Indo-European,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Cyprus.jpg
Czechoslovakia,Europe,NE,128,15,Slavic,Marxist,https://orig00.deviantart.net/9a78/f/2016/061/4/0/flag_socialist_republic_of_czechoslovakia__old__by_redrich1917-d6v1x7m.jpg
Denmark,Europe,NE,43,5,Other Indo-European,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Denmark.jpg
Djibouti,Africa,NE,22,0,French,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Djibouti.jpg
Dominica,N.America,NW,0,0,English,Other Christian,http://www.sciencekids.co.nz/images/pictures/flags680/Dominica.jpg
Dominican-Republic,N.America,NW,49,6,Spanish,Catholic,http://www.flags.net/images/largeflags/DORE0001.GIF
Ecuador,S.America,SW,284,8,Spanish,Catholic,http://www.sciencekids.co.nz/images/pictures/flags680/Ecuador.jpg
Egypt,Africa,NE,1001,47,Arabic,Muslim,http://www.sciencekids.co.nz/images/pictures/flags680/Egypt.jpg
El-Salvador,N.America,NW,21,5,Spanish,Catholic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/2000px-Flag_of_El_Salvador.svg.png
