details,name,variable
circles,Bangladesh,details
circles,Belize,details
circles,Bermuda,details
circles,Brazil,details
circles,Burundi,details
circles,Cayman-Islands,details
circles,Cook-Islands,details
circles,Dominica,details
circles,Falklands-Malvinas,details
circles,French-Polynesia,details
circles,Greenland,details
circles,Grenada,details
circles,Hong-Kong,details
circles,India,details
circles,Japan,details
circles,Kenya,details
circles,Laos,details
circles,Niger,details
circles,Niue,details
circles,North-Korea,details
circles,Parguay,details
circles,Portugal,details
circles,South-Korea,details
circles,Taiwan,details
circles,Tunisia,details
circles,Uganda,details
circles,Zaire,details
crosses,Australia,details
crosses,Bermuda,details
crosses,British-Virgin-Isles,details
crosses,Cayman-Islands,details
crosses,Cook-Islands,details
crosses,Denmark,details
crosses,Dominican-Republic,details
crosses,Faeroes,details
crosses,Falklands-Malvinas,details
crosses,Finland,details
crosses,Greece,details
crosses,Hong-Kong,details
crosses,Iceland,details
crosses,Malta,details
crosses,New-Zealand,details
crosses,Niue,details
crosses,Norway,details
crosses,South-Africa,details
crosses,St-Helena,details
crosses,Sweden,details
crosses,Switzerland,details
crosses,Tonga,details
crosses,Turks-Cocos-Islands,details
crosses,Tuvalu,details
crosses,UK,details
saltires,Australia,details
saltires,Bermuda,details
saltires,British-Virgin-Isles,details
saltires,Burundi,details
saltires,Cayman-Islands,details
saltires,Cook-Islands,details
saltires,Falklands-Malvinas,details
saltires,Fiji,details
saltires,Hong-Kong,details
saltires,Jamaica,details
saltires,Montserrat,details
saltires,New-Zealand,details
saltires,Niue,details
saltires,South-Africa,details
saltires,St-Helena,details
saltires,Turks-Cocos-Islands,details
saltires,Tuvalu,details
saltires,UK,details
quarters,Australia,details
quarters,Bermuda,details
quarters,British-Virgin-Isles,details
quarters,Burma,details
quarters,Cayman-Islands,details
quarters,Chile,details
quarters,Cook-Islands,details
quarters,Falklands-Malvinas,details
quarters,Fiji,details
quarters,Greece,details
quarters,Hong-Kong,details
quarters,Liberia,details
quarters,Malaysia,details
quarters,Montserrat,details
quarters,New-Zealand,details
quarters,Niue,details
quarters,St-Helena,details
quarters,Taiwan,details
quarters,Togo,details
quarters,Tonga,details
quarters,Turks-Cocos-Islands,details
quarters,Tuvalu,details
quarters,Uruguay,details
quarters,USA,details
quarters,Western-Samoa,details
sunstars,Afghanistan,details
sunstars,Albania,details
sunstars,Algeria,details
sunstars,Angola,details
sunstars,Antigua-Barbuda,details
sunstars,Argentine,details
sunstars,Benin,details
sunstars,Bulgaria,details
sunstars,Burkina,details
sunstars,Cameroon,details
sunstars,Cape-Verde-Islands,details
sunstars,Central-African-Republic,details
sunstars,Chile,details
sunstars,Congo,details
sunstars,Cuba,details
sunstars,Djibouti,details
sunstars,French-Polynesia,details
sunstars,Ghana,details
sunstars,Guinea-Bissau,details
sunstars,Israel,details
sunstars,Japan,details
sunstars,Jordan,details
sunstars,Kiribati,details
sunstars,Liberia,details
sunstars,Malawi,details
sunstars,Malaysia,details
sunstars,Marianas,details
sunstars,Mauritania,details
sunstars,Mongolia,details
sunstars,Morocco,details
sunstars,Mozambique,details
sunstars,Nauru,details
sunstars,North-Korea,details
sunstars,North-Yemen,details
sunstars,Pakistan,details
sunstars,Parguay,details
sunstars,Puerto-Rico,details
sunstars,Senegal,details
sunstars,Somalia,details
sunstars,South-Yemen,details
sunstars,Surinam,details
sunstars,Taiwan,details
sunstars,Togo,details
sunstars,Tunisia,details
sunstars,Turkey,details
sunstars,Uruguay,details
sunstars,USSR,details
sunstars,Vietnam,details
sunstars,Yugoslavia,details
sunstars,Zimbabwe,details
crescent,Algeria,details
crescent,Comorro-Islands,details
crescent,Malaysia,details
crescent,Maldive-Islands,details
crescent,Mauritania,details
crescent,Mongolia,details
crescent,Nepal,details
crescent,Pakistan,details
crescent,Singapore,details
crescent,Tunisia,details
crescent,Turkey,details
triangle,American-Samoa,details
triangle,Antigua-Barbuda,details
triangle,Bahamas,details
triangle,Brunei,details
triangle,Cuba,details
triangle,Czechoslovakia,details
triangle,Djibouti,details
triangle,Equatorial-Guinea,details
triangle,Grenada,details
triangle,Guyana,details
triangle,Jamaica,details
triangle,Jordan,details
triangle,Mongolia,details
triangle,Mozambique,details
triangle,Papua-New-Guinea,details
triangle,Philippines,details
triangle,Puerto-Rico,details
triangle,Sao-Tome,details
triangle,Soloman-Islands,details
triangle,South-Yemen,details
triangle,St-Kitts-Nevis,details
triangle,St-Lucia,details
triangle,Sudan,details
triangle,Tanzania,details
triangle,Trinidad-Tobago,details
triangle,Vanuatu,details
triangle,Zimbabwe,details
icon,Afghanistan,details
icon,American-Samoa,details
icon,Angola,details
icon,Barbados,details
icon,Belize,details
icon,Bermuda,details
icon,British-Virgin-Isles,details
icon,Brunei,details
icon,Bulgaria,details
icon,Burma,details
icon,Cayman-Islands,details
icon,Congo,details
icon,Cyprus,details
icon,Falklands-Malvinas,details
icon,Fiji,details
icon,French-Polynesia,details
icon,Germany-DDR,details
icon,Gibraltar,details
icon,Guam,details
icon,Hong-Kong,details
icon,India,details
icon,Iran,details
icon,Kampuchea,details
icon,Kenya,details
icon,Kiribati,details
icon,Lesotho,details
icon,Liechtenstein,details
icon,Malta,details
icon,Marianas,details
icon,Mongolia,details
icon,Montserrat,details
icon,Mozambique,details
icon,Oman,details
icon,Parguay,details
icon,Portugal,details
icon,Romania,details
icon,Saudi-Arabia,details
icon,South-Korea,details
icon,Sri-Lanka,details
icon,St-Helena,details
icon,St-Vincent,details
icon,Swaziland,details
icon,Turks-Cocos-Islands,details
icon,US-Virgin-Isles,details
icon,USSR,details
icon,Vatican-City,details
icon,Venezuela,details
icon,Zaire,details
icon,Zimbabwe,details
animate,Albania,details
animate,American-Samoa,details
animate,Anguilla,details
animate,Belize,details
animate,Bermuda,details
animate,Bhutan,details
animate,British-Virgin-Isles,details
animate,Brunei,details
animate,Bulgaria,details
animate,Burma,details
animate,Canada,details
animate,Cape-Verde-Islands,details
animate,Cayman-Islands,details
animate,Congo,details
animate,Cyprus,details
animate,Dominica,details
animate,Egypt,details
animate,Falklands-Malvinas,details
animate,Fiji,details
animate,Grenada,details
animate,Guam,details
animate,Hong-Kong,details
animate,Kiribati,details
animate,Lebanon,details
animate,Mexico,details
animate,Montserrat,details
animate,Papua-New-Guinea,details
animate,Parguay,details
animate,Romania,details
animate,Sri-Lanka,details
animate,St-Vincent,details
animate,Turks-Cocos-Islands,details
animate,Uganda,details
animate,US-Virgin-Isles,details
animate,Vanuatu,details
animate,Venezuela,details
animate,Zaire,details
animate,Zambia,details
animate,Zimbabwe,details
text,Belize,details
text,Brazil,details
text,British-Virgin-Isles,details
text,Brunei,details
text,Cayman-Islands,details
text,Egypt,details
text,Falklands-Malvinas,details
text,Guam,details
text,Hong-Kong,details
text,Iran,details
text,Parguay,details
text,Romania,details
text,Rwanda,details
text,Saudi-Arabia,details
text,St-Vincent,details
text,US-Virgin-Isles,details
red,Afghanistan,color
red,Albania,color
red,Algeria,color
red,American-Samoa,color
red,Andorra,color
red,Angola,color
red,Antigua-Barbuda,color
red,Australia,color
red,Austria,color
red,Bahrain,color
red,Bangladesh,color
red,Belgium,color
red,Belize,color
red,Benin,color
red,Bermuda,color
red,Bhutan,color
red,Bolivia,color
red,British-Virgin-Isles,color
red,Brunei,color
red,Bulgaria,color
red,Burkina,color
red,Burma,color
red,Burundi,color
red,Cameroon,color
red,Canada,color
red,Cape-Verde-Islands,color
red,Cayman-Islands,color
red,Central-African-Republic,color
red,Chad,color
red,Chile,color
red,China,color
red,Colombia,color
red,Congo,color
red,Cook-Islands,color
red,Costa-Rica,color
red,Cuba,color
red,Czechoslovakia,color
red,Denmark,color
red,Djibouti,color
red,Dominica,color
red,Dominican-Republic,color
red,Ecuador,color
red,Egypt,color
red,Equatorial-Guinea,color
red,Ethiopia,color
red,Faeroes,color
red,Falklands-Malvinas,color
red,Fiji,color
red,France,color
red,French-Guiana,color
red,French-Polynesia,color
red,Gambia,color
red,Germany-DDR,color
red,Germany-FRG,color
red,Ghana,color
red,Gibraltar,color
red,Greenland,color
red,Grenada,color
red,Guam,color
red,Guinea,color
red,Guinea-Bissau,color
red,Guyana,color
red,Haiti,color
red,Hong-Kong,color
red,Hungary,color
red,Iceland,color
red,Indonesia,color
red,Iran,color
